observation_date,FYPUGDA188S
1939-01-01,44.30793
1940-01-01,41.59418
1941-01-01,37.27505
1942-01-01,40.85519
1943-01-01,62.92963
1944-01-01,82.33570
1945-01-01,103.15473
1946-01-01,106.31331
1947-01-01,89.85802
1948-01-01,78.80700
1949-01-01,78.64942
1950-01-01,73.04212
1951-01-01,61.77323
1952-01-01,58.47428
1953-01-01,56.11251
1954-01-01,57.48318
1955-01-01,53.25775
1956-01-01,49.44887
1957-01-01,46.26202
1958-01-01,47.02543
1959-01-01,44.99151
1960-01-01,43.65927
1961-01-01,42.40416
1962-01-01,41.06491
1963-01-01,39.84626
1964-01-01,37.51863
1965-01-01,35.13456
1966-01-01,32.41892
1967-01-01,31.00148
1968-01-01,30.77656
1969-01-01,27.32861
1970-01-01,26.38584
1971-01-01,26.01193
1972-01-01,25.20503
1973-01-01,23.91650
1974-01-01,22.24246
1975-01-01,23.42567
1976-01-01,25.48292
1977-01-01,26.37588
1978-01-01,25.81648
1979-01-01,24.37072
1980-01-01,24.91507
1981-01-01,24.61459
1982-01-01,27.65127
1983-01-01,31.29577
1984-01-01,32.37061
1985-01-01,34.73859
1986-01-01,38.00743
1987-01-01,38.92310
1988-01-01,39.17930
1989-01-01,38.83132
1990-01-01,40.44175
1991-01-01,43.66586
1992-01-01,46.00536
1993-01-01,47.36272
1994-01-01,47.11114
1995-01-01,47.17956
1996-01-01,46.25348
1997-01-01,43.97875
1998-01-01,41.05898
1999-01-01,37.71504
2000-01-01,33.26325
2001-01-01,31.37046
2002-01-01,32.39423
2003-01-01,34.15892
2004-01-01,35.15946
2005-01-01,35.21843
2006-01-01,34.95328
2007-01-01,34.78666
2008-01-01,39.29014
2009-01-01,52.11124
2010-01-01,59.93034
2011-01-01,64.92547
2012-01-01,69.40520
2013-01-01,70.98469
2014-01-01,72.57951
2015-01-01,71.69547
2016-01-01,75.33989
2017-01-01,74.77730
2018-01-01,76.24519
2019-01-01,77.99774
2020-01-01,98.32245
2021-01-01,93.92368
2022-01-01,93.08678
2023-01-01,94.33358
